similarity,name,label,study,domain,sub_domain,source,metric,atlas,table_name,table_label,instruction,header,note,unit,type_var,type_data,type_level,type_field,order_display,branching_logic,label_es,instruction_es,header_es,note_es,table_nda,table_nda_5_0,table_redcap,name_nda,name_deap,name_redcap,name_redcap_exp,url_table,url_warn_use,url_warn_data,url_table_warn_use,url_table_warn_data,url_docs_score,name_short,name_stata,identifier_columns,image_assessment,image_brain,json_brain,order_sort
0.451,mh_p_ksads__dep__pdd__partrem_dx,Diagnosis: Persistent depressive disorder (Dysthymia) (F34.1) - Partial remission [Parent],Core,Mental Health,Mood,Parent,,,mh_p_ksads__dep,KSADS - Depressive Disorders [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_1_844_p | ksads2_1_794_p,ksads2_1_794_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__dep__pdd__partrem_dx,mh_p_ksads_dep_0046,participant_id | session_id,,,,46
0.451,mh_p_ksads__suic__actv__int__pres_dx,"Diagnosis: Suicidal ideation, active intent - Present [Parent]",Core,Mental Health,Harm,Parent,,,mh_p_ksads__suic,KSADS - Suicidality [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_23_949_p | ksads2_23_909_p,ksads2_23_909_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__suic__actv__int__pres_dx,mh_p_ksads_suic_0031,participant_id | session_id,,,,31
0.451,mh_p_ksads__sepanx__oth__pres_dx,"Diagnosis: Other specified anxiety disorder, separation anxiety disorder (impairment does not meet full criteria) (F41.8) - Present [Parent]",Core,Mental Health,Anxiety,Parent,,,mh_p_ksads__sepanx,KSADS - Separation Anxiety [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_7_909_p | ksads2_7_869_p,ksads2_7_869_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__sepanx__oth__pres_dx,mh_p_ksads_sepanx_0029,participant_id | session_id,,,,29
0.449,mh_y_ksads__ed__binge__oth__mindur__past_dx,"Diagnosis: Other specified feeding or eating disorder, binge eating disorder (low frequency or limited duration) (F50.8) - Past [Youth]",Core,Mental Health,Eating,Youth,,,mh_y_ksads__ed,KSADS - Eating Disorders [Youth],,,,,summary score,character,nominal,,,,,,,,,mh_y_ksads_ss,,ksads_13_972_t | ksads2_13_1000_t,,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__ed__binge__oth__mindur__past_dx,mh_y_ksads_ed_0034,participant_id | session_id,,,,34
0.448,mh_y_ksads__ed__an__oth__pres_dx,"Diagnosis: Other specified feeding or eating disorder, atypical anorexia nervosa (F50.8) - Present [Youth]",Core,Mental Health,Eating,Youth,,,mh_y_ksads__ed,KSADS - Eating Disorders [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_13_941_t | ksads2_13_901_t,ksads2_13_901_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__ed__an__oth__pres_dx,mh_y_ksads_ed_0030,participant_id | session_id,,,,30
0.448,mh_p_ksads__ed__bulim__oth__mindur__pres_dx,"Diagnosis: Other specified feeding or eating disorder, bulimia nervosa (low frequency or limited duration) (F50.8) - Present [Parent]",Core,Mental Health,Eating,Parent,,,mh_p_ksads__ed,KSADS - Eating Disorders [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_13_942_p | ksads2_13_902_p,ksads2_13_902_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__ed__bulim__oth__mindur__pres_dx,mh_p_ksads_ed_0040,participant_id | session_id,,,,40
0.447,mh_y_ksads__ed__an__bingeprg__past_dx,"Diagnosis: Anorexia nervosa, binge eating/purging subtype (F50.02) - Past [Youth]",Core,Mental Health,Eating,Youth,,,mh_y_ksads__ed,KSADS - Eating Disorders [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_13_931_t | ksads2_13_892_t,ksads2_13_892_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__ed__an__bingeprg__past_dx,mh_y_ksads_ed_0023,participant_id | session_id,,,,23
0.446,mh_y_ksads__ed__an__oth__past_dx,"Diagnosis: Other specified feeding or eating disorder, atypical anorexia nervosa (F50.8) - Past [Youth]",Core,Mental Health,Eating,Youth,,,mh_y_ksads__ed,KSADS - Eating Disorders [Youth],,,,,summary score,character,nominal,,,,,,,,,mh_y_ksads_ss,,ksads_13_971_t | ksads2_13_999_t,,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__ed__an__oth__past_dx,mh_y_ksads_ed_0029,participant_id | session_id,,,,29
0.446,mh_p_ksads__panic__pres_dx,Diagnosis: Panic disorder (F41.0) - Present [Parent],Core,Mental Health,Anxiety,Parent,,,mh_p_ksads__panic,KSADS - Panic Disorder [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_5_857_p | ksads2_5_814_p,ksads2_5_814_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__panic__pres_dx,mh_p_ksads_panic_0015,participant_id | session_id,,,,15
0.445,mh_p_ksads__ptsd__oth__past_dx,"Diagnosis: Other specified trauma and stressor related disorder, PTSD (impairment does not meet full criteria) (F43.8) - Past [Parent]",Core,Mental Health,Stress,Parent,,,mh_p_ksads__ptsd,KSADS - Post-Traumatic Stress Disorder [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_21_924_p | ksads2_21_885_p,ksads2_21_885_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__ptsd__oth__past_dx,mh_p_ksads_ptsd_0059,participant_id | session_id,,,,59
