similarity,name,label,study,domain,sub_domain,source,metric,atlas,table_name,table_label,instruction,header,note,unit,type_var,type_data,type_level,type_field,order_display,branching_logic,label_es,instruction_es,header_es,note_es,table_nda,table_nda_5_0,table_redcap,name_nda,name_deap,name_redcap,name_redcap_exp,url_table,url_warn_use,url_warn_data,url_table_warn_use,url_table_warn_data,url_docs_score,name_short,name_stata,identifier_columns,image_assessment,image_brain,json_brain,order_sort
0.435,mh_p_ksads__suic__actv__mthd__pres_dx,"Diagnosis: Suicidal ideation, active method - Present [Parent]",Core,Mental Health,Harm,Parent,,,mh_p_ksads__suic,KSADS - Suicidality [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_23_948_p | ksads2_23_908_p,ksads2_23_908_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__suic__actv__mthd__pres_dx,mh_p_ksads_suic_0033,participant_id | session_id,,,,33
0.435,mh_y_ksads__cond__onset__chld__past_dx,"Diagnosis: Conduct disorder, childhood onset (F91.1) - Past [Youth]",Core,Mental Health,Externalizing,Youth,,,mh_y_ksads__cond,KSADS - Conduct Disorder [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_16_899_t | ksads2_16_857_t,ksads2_16_857_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__cond__onset__chld__past_dx,mh_y_ksads_cond_0034,participant_id | session_id,,,,34
0.434,mh_p_ksads__suic__none__pres_dx,Diagnosis: No suicidal ideation or behavior - Present [Parent],Core,Mental Health,Harm,Parent,,,mh_p_ksads__suic,KSADS - Suicidality [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_23_955_p | ksads2_23_915_p,ksads2_23_915_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__suic__none__pres_dx,mh_p_ksads_suic_0049,participant_id | session_id,,,,49
0.433,mh_p_ksads__panic__past_dx,Diagnosis: Panic disorder (F41.0) - Past [Parent],Core,Mental Health,Anxiety,Parent,,,mh_p_ksads__panic,KSADS - Panic Disorder [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_5_858_p | ksads2_5_816_p,ksads2_5_816_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__panic__past_dx,mh_p_ksads_panic_0014,participant_id | session_id,,,,14
0.433,mh_p_ksads__suic__actv__int__past_dx,"Diagnosis: Suicidal ideation, active intent - Past [Parent]",Core,Mental Health,Harm,Parent,,,mh_p_ksads__suic,KSADS - Suicidality [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_23_960_p | ksads2_23_920_p,ksads2_23_920_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__suic__actv__int__past_dx,mh_p_ksads_suic_0030,participant_id | session_id,,,,30
0.432,mh_y_ksads__ed__an__restrict__pres_dx,"Diagnosis: Anorexia nervosa, restricting subtype (F50.01) - Present [Youth]",Core,Mental Health,Eating,Youth,,,mh_y_ksads__ed,KSADS - Eating Disorders [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_13_932_t | ksads2_13_893_t,ksads2_13_893_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__ed__an__restrict__pres_dx,mh_y_ksads_ed_0027,participant_id | session_id,,,,27
0.432,mh_y_ksads__ptsd__partrem_dx,Diagnosis: Post-traumatic stress disorder (F43.10) - Partial remission [Youth],Core,Mental Health,Stress,Youth,,,mh_y_ksads__ptsd,KSADS - Post-Traumatic Stress Disorder [Youth],,,,,summary score,character,nominal,,,,,,,,ksads2daic_use_only01,mh_y_ksads_ss,,ksads2_21_882_t,ksads2_21_882_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__ptsd__partrem_dx,mh_y_ksads_ptsd_0058,participant_id | session_id,,,,58
0.432,mh_p_ksads__ed__binge__pres_dx,Diagnosis: Binge eating disorder (F50.8) - Present [Parent],Core,Mental Health,Eating,Parent,,,mh_p_ksads__ed,KSADS - Eating Disorders [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_13_938_p | ksads2_13_899_p,ksads2_13_899_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__ed__binge__pres_dx,mh_p_ksads_ed_0032,participant_id | session_id,,,,32
0.431,su_p_ksads__dud__unspec__past_dx,Diagnosis: Unspecified substance related disorder (F10.99) - Past [Parent],Core,Substance Use,SU Consequence,Parent,,,su_p_ksads__dud,KSADS - Drug Use Disorders [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_20_894_p | ksads2_20_852_p,ksads2_20_852_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/su.html#su_p_ksads__dud,,,,,,su_p_ksads__dud__unspec__past_dx,su_p_ksads_dud_0358,participant_id | session_id,,,,358
0.431,mh_p_ksads__ed__binge__oth__mindur__past_dx,"Diagnosis: Other specified feeding or eating disorder, binge eating disorder (low frequency or limited duration) (F50.8) - Past [Parent]",Core,Mental Health,Eating,Parent,,,mh_p_ksads__ed,KSADS - Eating Disorders [Parent],,,,,summary score,character,nominal,,,,,,,,,mh_p_ksads_ss,,ksads_13_972_p | ksads2_13_1000_p,,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__ed__binge__oth__mindur__past_dx,mh_p_ksads_ed_0034,participant_id | session_id,,,,34
0.43,mh_p_ksads__suic__actv__mthd__past_dx,"Diagnosis: Suicidal ideation, active method - Past [Parent]",Core,Mental Health,Harm,Parent,,,mh_p_ksads__suic,KSADS - Suicidality [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_23_959_p | ksads2_23_919_p,ksads2_23_919_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__suic__actv__mthd__past_dx,mh_p_ksads_suic_0032,participant_id | session_id,,,,32
0.429,mh_y_ksads__ed__an__restrict__past_dx,"Diagnosis: Anorexia nervosa, restricting subtype (F50.01) - Past [Youth]",Core,Mental Health,Eating,Youth,,,mh_y_ksads__ed,KSADS - Eating Disorders [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_13_934_t | ksads2_13_895_t,ksads2_13_895_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__ed__an__restrict__past_dx,mh_y_ksads_ed_0026,participant_id | session_id,,,,26
0.428,mh_p_ksads__cond__onset__chld__pres_dx,"Diagnosis: Conduct disorder, childhood onset (F91.1) - Present [Parent]",Core,Mental Health,Externalizing,Parent,,,mh_p_ksads__cond,KSADS - Conduct Disorder [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_16_897_p | ksads2_16_855_p,ksads2_16_855_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__cond__onset__chld__pres_dx,mh_p_ksads_cond_0035,participant_id | session_id,,,,35
0.427,su_p_ksads__dud__illdrg__past_dx,Diagnosis: Other drugs use disorder - Past [Parent],Core,Substance Use,SU Consequence,Parent,,,su_p_ksads__dud,KSADS - Drug Use Disorders [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_20_888_p | ksads2_20_846_p,ksads2_20_846_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/su.html#su_p_ksads__dud,,,,,,su_p_ksads__dud__illdrg__past_dx,su_p_ksads_dud_0342,participant_id | session_id,,,,342
0.426,mh_p_ksads__bpd__bpd2__oth__mindur_dx,"Diagnosis: Other specified bipolar and related disorder, meets criteria for bipolar II disorder (impairment does not meet minimum duration) (F31.9) [Parent]",Core,Mental Health,Mood,Parent,,,mh_p_ksads__bpd,KSADS - Bipolar Disorders [Parent],,,,,summary score,character,nominal,,,,,,,,ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads2_2_803_p,ksads2_2_803_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__bpd__bpd2__oth__mindur_dx,mh_p_ksads_bpd_0057,participant_id | session_id,,,,57
0.426,mh_p_ksads__suic__actv__plan__pres_dx,"Diagnosis: Suicidal ideation, active plan - Present [Parent]",Core,Mental Health,Harm,Parent,,,mh_p_ksads__suic,KSADS - Suicidality [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_23_950_p | ksads2_23_910_p,ksads2_23_910_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__suic__actv__plan__pres_dx,mh_p_ksads_suic_0035,participant_id | session_id,,,,35
0.426,mh_y_ksads__ed__an__restrict__partrem_dx,"Diagnosis: Anorexia nervosa, restricting subtype (F50.01) - Partial remission [Youth]",Core,Mental Health,Eating,Youth,,,mh_y_ksads__ed,KSADS - Eating Disorders [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_13_933_t | ksads2_13_894_t,ksads2_13_894_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__ed__an__restrict__partrem_dx,mh_y_ksads_ed_0028,participant_id | session_id,,,,28
0.426,su_y_ksads__aud__unspec__past_dx,Diagnosis: Unspecified alcohol use disorder (F10.99) - Past [Youth],Core,Substance Use,SU Consequence,Youth,,,su_y_ksads__aud,KSADS - Alcohol Use Disorder [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_19_896_t | ksads2_19_854_t,ksads2_19_854_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/su.html#su_y_ksads__aud,,,,,,su_y_ksads__aud__unspec__past_dx,su_y_ksads_aud_0035,participant_id | session_id,,,,35
0.426,mh_y_ksads__suic__pass__pres_dx,"Diagnosis: Suicidal ideation, passive - Present [Youth]",Core,Mental Health,Harm,Youth,,,mh_y_ksads__suic,KSADS - Suicidality [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_23_946_t | ksads2_23_906_t,ksads2_23_906_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__suic__pass__pres_dx,mh_y_ksads_suic_0047,participant_id | session_id,,,,47
0.425,mh_p_ksads__odd__past_dx,Diagnosis: Oppositional defiant disorder (F91.3) - Past [Parent],Core,Mental Health,Externalizing,Parent,,,mh_p_ksads__odd,KSADS - Oppositional Defiant Disorder [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_15_902_p | ksads2_15_860_p,ksads2_15_860_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__odd__past_dx,mh_p_ksads_odd_0027,participant_id | session_id,,,,27
0.425,mh_y_ksads__suic__actv__plan__pres_dx,"Diagnosis: Suicidal ideation, active plan - Present [Youth]",Core,Mental Health,Harm,Youth,,,mh_y_ksads__suic,KSADS - Suicidality [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_23_950_t | ksads2_23_910_t,ksads2_23_910_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__suic__actv__plan__pres_dx,mh_y_ksads_suic_0035,participant_id | session_id,,,,35
0.425,mh_y_ksads__ed__bulim__past_dx,Diagnosis: Bulimia nervosa (F50.2) - Past [Youth],Core,Mental Health,Eating,Youth,,,mh_y_ksads__ed,KSADS - Eating Disorders [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_13_936_t | ksads2_13_897_t,ksads2_13_897_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__ed__bulim__past_dx,mh_y_ksads_ed_0036,participant_id | session_id,,,,36
0.425,mh_y_ksads__suic__atmpt__pres_dx,Diagnosis: Suicide attempt - Present [Youth],Core,Mental Health,Harm,Youth,,,mh_y_ksads__suic,KSADS - Suicidality [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_23_954_t | ksads2_23_914_t,ksads2_23_914_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__suic__atmpt__pres_dx,mh_y_ksads_suic_0043,participant_id | session_id,,,,43
0.424,mh_y_ksads__ed__binge__partrem_dx,Diagnosis: Binge eating disorder (F50.8) - Partial remission [Youth],Core,Mental Health,Eating,Youth,,,mh_y_ksads__ed,KSADS - Eating Disorders [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501,mh_y_ksads_ss,,ksads_13_939_t,,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__ed__binge__partrem_dx,mh_y_ksads_ed_0033,participant_id | session_id,,,,33
0.424,mh_p_ksads__ptsd__past_dx,Diagnosis: Post-traumatic stress disorder (F43.10) - Past [Parent],Core,Mental Health,Stress,Parent,,,mh_p_ksads__ptsd,KSADS - Post-Traumatic Stress Disorder [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_21_922_p | ksads2_21_883_p,ksads2_21_883_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__ptsd__past_dx,mh_p_ksads_ptsd_0056,participant_id | session_id,,,,56
0.423,mh_y_ksads__ed__bulim__partrem_dx,Diagnosis: Bulimia nervosa - Partial remission [Youth],Core,Mental Health,Eating,Youth,,,mh_y_ksads__ed,KSADS - Eating Disorders [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_13_937_t | ksads2_13_898_t,ksads2_13_898_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__ed__bulim__partrem_dx,mh_y_ksads_ed_0038,participant_id | session_id,,,,38
0.422,mh_p_ksads__suic__pass__pres_dx,"Diagnosis: Suicidal ideation, passive - Present [Parent]",Core,Mental Health,Harm,Parent,,,mh_p_ksads__suic,KSADS - Suicidality [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_23_946_p | ksads2_23_906_p,ksads2_23_906_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__suic__pass__pres_dx,mh_p_ksads_suic_0047,participant_id | session_id,,,,47
0.421,mh_p_ksads__ed__an__restrict__pres_dx,"Diagnosis: Anorexia nervosa, restricting subtype (F50.01) - Present [Parent]",Core,Mental Health,Eating,Parent,,,mh_p_ksads__ed,KSADS - Eating Disorders [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_13_932_p | ksads2_13_893_p,ksads2_13_893_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__ed__an__restrict__pres_dx,mh_p_ksads_ed_0027,participant_id | session_id,,,,27
0.421,mh_y_ksads__suic__pass__past_dx,"Diagnosis: Suicidal ideation, passive - Past [Youth]",Core,Mental Health,Harm,Youth,,,mh_y_ksads__suic,KSADS - Suicidality [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_23_957_t | ksads2_23_917_t,ksads2_23_917_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__suic__pass__past_dx,mh_y_ksads_suic_0046,participant_id | session_id,,,,46
0.42,mh_p_ksads__suic__slfinj__nosi__pres_dx,"Diagnosis: Self injurious behavior, without suicidal intent - Present [Parent]",Core,Mental Health,Harm,Parent,,,mh_p_ksads__suic,KSADS - Suicidality [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_23_945_p | ksads2_23_905_p,ksads2_23_905_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__suic__slfinj__nosi__pres_dx,mh_p_ksads_suic_0051,participant_id | session_id,,,,51
0.42,mh_p_ksads__adhd__oth_dx,Diagnosis: Other specified attention-deficit/hyperactivity disorder (F90.8) [Parent],Core,Mental Health,Externalizing,Parent,,,mh_p_ksads__adhd,KSADS - Attention-Deficit/Hyperactivity Disorder [Parent],,,,,summary score,character,nominal,,,,,,,,ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads2_14_813_p,ksads2_14_813_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__adhd__oth_dx,mh_p_ksads_adhd_0050,participant_id | session_id,,,,50
0.42,mh_p_ksads__suic__none__past_dx,Diagnosis: No past suicidal ideation or behavior - Past [Parent],Core,Mental Health,Harm,Parent,,,mh_p_ksads__suic,KSADS - Suicidality [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_23_966_p | ksads2_23_926_p,ksads2_23_926_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__suic__none__past_dx,mh_p_ksads_suic_0048,participant_id | session_id,,,,48
0.419,mh_p_ksads__ed__an__bingeprg__past_dx,"Diagnosis: Anorexia nervosa, binge eating/purging subtype (F50.02) - Past [Parent]",Core,Mental Health,Eating,Parent,,,mh_p_ksads__ed,KSADS - Eating Disorders [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_13_931_p | ksads2_13_892_p,ksads2_13_892_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__ed__an__bingeprg__past_dx,mh_p_ksads_ed_0023,participant_id | session_id,,,,23
0.419,mh_p_ksads__odd__pres_dx,Diagnosis: Oppositional defiant disorder (F91.3) - Present [Parent],Core,Mental Health,Externalizing,Parent,,,mh_p_ksads__odd,KSADS - Oppositional Defiant Disorder [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_15_901_p | ksads2_15_859_p,ksads2_15_859_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__odd__pres_dx,mh_p_ksads_odd_0028,participant_id | session_id,,,,28
0.417,mh_p_ksads__cond__onset__chld__past_dx,"Diagnosis: Conduct disorder, childhood onset (F91.1) - Past [Parent]",Core,Mental Health,Externalizing,Parent,,,mh_p_ksads__cond,KSADS - Conduct Disorder [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_16_899_p | ksads2_16_857_p,ksads2_16_857_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__cond__onset__chld__past_dx,mh_p_ksads_cond_0034,participant_id | session_id,,,,34
0.417,mh_p_ksads__adhd__unspec_dx,Diagnosis: Unspecified Attention-deficit/hyperactivity disorder (F90.9) [Parent],Core,Mental Health,Externalizing,Parent,,,mh_p_ksads__adhd,KSADS - Attention-Deficit/Hyperactivity Disorder [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01,mh_p_ksads_ss,,ksads_14_856_p,,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__adhd__unspec_dx,mh_p_ksads_adhd_0049,participant_id | session_id,,,,49
0.417,su_y_ksads__dud__coc__pres_dx,Diagnosis: Stimulant use disorder: Cocaine - Present [Youth],Core,Substance Use,SU Consequence,Youth,,,su_y_ksads__dud,KSADS - Drug Use Disorders [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_20_874_t | ksads2_20_832_t,ksads2_20_832_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/su.html#su_y_ksads__dud,,,,,,su_y_ksads__dud__coc__pres_dx,su_y_ksads_dud_0339,participant_id | session_id,,,,339
0.416,mh_p_ksads__ed__an__bingeprg__partrem_dx,"Diagnosis: Anorexia nervosa, binge eating/purging subtype (F50.02) - Partial remission [Parent]",Core,Mental Health,Eating,Parent,,,mh_p_ksads__ed,KSADS - Eating Disorders [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_13_930_p | ksads2_13_891_p,ksads2_13_891_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__ed__an__bingeprg__partrem_dx,mh_p_ksads_ed_0025,participant_id | session_id,,,,25
0.415,su_y_ksads__dud__inh__past_dx,Diagnosis: Inhalant use disorder - Past [Youth],Core,Substance Use,SU Consequence,Youth,,,su_y_ksads__dud,KSADS - Drug Use Disorders [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_20_887_t | ksads2_20_844_t,ksads2_20_844_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/su.html#su_y_ksads__dud,,,,,,su_y_ksads__dud__inh__past_dx,su_y_ksads_dud_0344,participant_id | session_id,,,,344
0.414,mh_p_ksads__agor__pres_dx,Diagnosis: Agoraphobia (F40.00) - Present [Parent],Core,Mental Health,Anxiety,Parent,,,mh_p_ksads__agor,KSADS - Agoraphobia [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_6_859_p | ksads2_6_817_p,ksads2_6_817_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__agor__pres_dx,mh_p_ksads_agor_0013,participant_id | session_id,,,,13
0.413,mh_y_ksads__cond__onset__adoles__pres_dx,"Diagnosis: Conduct disorder, adolescent onset (F91.2) - Present [Youth]",Core,Mental Health,Externalizing,Youth,,,mh_y_ksads__cond,KSADS - Conduct Disorder [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_16_898_t | ksads2_16_856_t,ksads2_16_856_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__cond__onset__adoles__pres_dx,mh_y_ksads_cond_0033,participant_id | session_id,,,,33
0.413,mh_y_ksads__ed__bulim__pres_dx,Diagnosis: Bulimia nervosa (F50.2) - Present [Youth],Core,Mental Health,Eating,Youth,,,mh_y_ksads__ed,KSADS - Eating Disorders [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_13_935_t | ksads2_13_896_t,ksads2_13_896_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__ed__bulim__pres_dx,mh_y_ksads_ed_0037,participant_id | session_id,,,,37
0.413,mh_y_ksads__suic__atmpt__past_dx,Diagnosis: Suicide attempt - Past [Youth],Core,Mental Health,Harm,Youth,,,mh_y_ksads__suic,KSADS - Suicidality [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_23_965_t | ksads2_23_925_t,ksads2_23_925_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__suic__atmpt__past_dx,mh_y_ksads_suic_0042,participant_id | session_id,,,,42
0.412,mh_y_ksads__suic__slfinj__nosi__pres_dx,"Diagnosis: Self injurious behavior, without suicidal intent - Present [Youth]",Core,Mental Health,Harm,Youth,,,mh_y_ksads__suic,KSADS - Suicidality [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_23_945_t | ksads2_23_905_t,ksads2_23_905_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__suic__slfinj__nosi__pres_dx,mh_y_ksads_suic_0051,participant_id | session_id,,,,51
0.412,mh_p_ksads__suic__pass__past_dx,"Diagnosis: Suicidal ideation, passive - Past [Parent]",Core,Mental Health,Harm,Parent,,,mh_p_ksads__suic,KSADS - Suicidality [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_23_957_p | ksads2_23_917_p,ksads2_23_917_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__suic__pass__past_dx,mh_p_ksads_suic_0046,participant_id | session_id,,,,46
0.412,mh_y_ksads__suic__actv__plan__past_dx,"Diagnosis: Suicidal ideation, active plan - Past [Youth]",Core,Mental Health,Harm,Youth,,,mh_y_ksads__suic,KSADS - Suicidality [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_23_961_t | ksads2_23_921_t,ksads2_23_921_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__suic__actv__plan__past_dx,mh_y_ksads_suic_0034,participant_id | session_id,,,,34
