wave_label,cluster_aligned,n,mean_n_valid_days,mean_wear_fraction,mean_dispersion
yr2,0,138,19.6231884057971,0.9432999769956292,5.911831817343496
yr2,1,113,17.79646017699115,0.8653493333368124,5.854935340641595
yr2,2,2126,19.249294449670742,0.9309146550697421,5.892897672661326
yr6,1,263,17.083650190114067,0.8193883743878446,5.826609251100894
yr6,2,1253,17.553072625698327,0.845926723234034,5.832587239237922
